second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,fatigue_score,fatigue_level,slope,reward,lat,lon,elevation
2906,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.82844088704824,,flat,-1.702993062612852,45.18442667,10.78895667,23.0
2907,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.825621866674492,,flat,-1.6716270415209389,45.18445333,10.78896833,23.0
2908,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.842744475107911,,flat,-1.8820255985956762,45.18447667,10.78898,23.0
2909,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.846045757926728,,flat,-1.864219595933538,45.18450167,10.78899167,23.0
2910,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.865480143665478,,flat,-1.8174607087039438,45.18452667,10.78900333,23.0
2911,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.869819282965309,,flat,-1.817263458955605,45.18455167,10.789015,23.0
2912,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.857639589016048,,flat,-1.8284067217824727,45.18457667,10.78902667,23.0
2913,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.878436939474457,,flat,-1.9003146743437813,45.18460167,10.78903833,23.0
2914,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8639468995294735,,flat,-1.817920764776106,45.18462833,10.78905,23.0
2915,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8801845555698025,,flat,-1.7762465748150205,45.18465833,10.78906333,23.0
2916,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.879911708138966,,flat,-1.8220516746427973,45.18467833,10.78907333,23.0
2917,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.879013482936256,,flat,-1.9195956465275015,45.18470167,10.789085,23.0
2918,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.882444434679086,,uphill,-1.9295384592373548,45.18472333,10.78909667,23.0
2919,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.8937184114192265,,flat,-1.8080329852863113,45.184745,10.78910833,24.0
2920,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.909995477601361,,flat,-1.898933227186247,45.184765,10.78912167,24.0
2921,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.927989015409655,,flat,-2.0265613505985294,45.18478667,10.78914333,24.0
2922,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.945168147397752,,flat,-1.9129131143454394,45.18480333,10.78917333,24.0
2923,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.964948933437529,,flat,-2.0491946823610756,45.18480833,10.78921167,24.0
2924,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.954360292988133,,uphill,-1.9388922440729273,45.18481,10.78925333,24.0
2925,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.945557844327634,,flat,-1.987251554586818,45.184805,10.78929667,25.0
2926,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.928407370205503,,flat,-2.040764705806394,45.18479667,10.78933833,25.0
2927,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.94068363928151,,flat,-2.066306581637168,45.18478667,10.78938167,25.0
2928,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.95807161853304,,flat,-1.9618567275924024,45.18477833,10.78942333,25.0
2929,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.947112140831893,,uphill,-2.0089832674130648,45.18476833,10.78946333,25.0
2930,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.967224265609615,,flat,-2.117819167110278,45.18476,10.78950333,26.0
2931,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.952679999032495,,flat,-2.099120818421584,45.18475,10.78955167,26.0
2932,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.942681443044137,,flat,-1.8906092920571536,45.18475333,10.78959,26.0
2933,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9514755520099465,,downhill,-2.004262899767469,45.18475333,10.78962167,26.0
2934,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.937884939790558,,flat,-2.0515645222500205,45.184755,10.78964667,25.0
2935,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.958339356859256,,flat,-1.975499280257045,45.18476167,10.789665,25.0
2936,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9463358420863806,,flat,-2.030934320044455,45.18477833,10.78968333,25.0
2937,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.966252203494628,,flat,-1.9833356795634183,45.18479833,10.7897,25.0
2938,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.973915115687575,,downhill,-1.9551670959219356,45.18482,10.789715,25.0
2939,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9926257040236335,,flat,-2.1443364748160256,45.184845,10.78972333,24.0
2940,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.985941572359441,,downhill,-1.974181405639523,45.18487167,10.78973833,24.0
2941,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.9783450412686046,,flat,-2.1368881541528943,45.18489,10.789755,23.0
2942,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.968771510864072,,downhill,-2.0738423554141265,45.18491,10.789785,23.0
2943,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.971595946894424,,flat,-1.9767646960879721,45.18492833,10.78981167,22.0
2944,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.986275102835943,,flat,-2.135030509600837,45.18494667,10.78984333,22.0
2945,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.983168784394991,,flat,-2.134034065974814,45.18496,10.789875,22.0
2946,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.98404550780592,,flat,-2.1656230912824475,45.18498667,10.78990667,22.0
2947,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.984342746240338,,flat,-1.989726052685579,45.18500833,10.78993,22.0
2948,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.988274259497052,,flat,-2.085571976413425,45.185025,10.789945,22.0
2949,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.998908659822163,,flat,-2.169554175751335,45.18505,10.78995667,22.0
2950,cooldown,high,keep going,Z1,Z1,Z1,Z1,7.006746149777254,,flat,-2.1930975465784477,45.18508,10.789965,22.0
2951,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.994251318167619,,uphill,-2.0896097183298172,45.18511,10.78996667,22.0
2952,cooldown,high,keep going,Z1,Z1,Z1,Z1,7.01226860425997,,flat,-2.05207072387268,45.18514167,10.78996333,23.0
2953,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.998245495577324,,flat,-2.1668701737238005,45.18517,10.789965,23.0
2954,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.986619093996351,,flat,-2.025393604064872,45.18519667,10.789965,23.0
2955,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.973141956071564,,flat,-1.983796475134989,45.185225,10.78996833,23.0
2956,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.961458743617289,,flat,-1.9831823680383012,45.185255,10.78997,23.0
2957,cooldown,medium,keep going,Z1,Z1,Z1,Z1,6.981863851425912,,flat,-2.0379619647453784,45.185285,10.78997333,23.0
